Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C14, C2, C3, C4, C5, C6, C7",0603,10,100n,
"C12, C13",0603,2,15p,
"C15, C17",0603,2,10u,
"C19, C8, C9",0603,3,1u,
CN1,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,1,SM04B-SRSS-TB(LF)(SN),
"D1, D2",SOT95P280X145-5M,2,MAX40203AUK+T,
IC1,SOIC127P790X216-8N,1,W25Q128JVSIQ,
J2,CUI_MSD-4-A,1,MSD-4-A,
LED1,INS66TFT5R5G5B,1,IN-S66TFT5R5G5B,
LED2,LED_LTST-C171_LTO-M,1,LTST-C171KRKT,
MIC1,MIC-TH_BD6.0-P1.90-D0.4-L-FD_GMI6050P-2CXXDB,1,~,
"R1, R2",0603,2,27,
"R10, R11, R13, R3, R9",0603,5,1k,
"R12, R17, R18, R19, R20",0603,5,10k,
R14,0603,1,2k2,
"R5, R6",0603,2,5k1,
"S1, S2",B3U-1000P,2,B3U-1000P,
U3,SOT95P280X145-5N,1,TLV75533PDBVR,
U4,QFN40P700X700X90-57N,1,SC0914_13_,
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),
Y1,ABM8272T3,1,ABM8-272-T3,
