Designator,Mid X,Mid Y,Rotation,Layer
C1,129.0,-87.6,180.0,top
C10,126.0,-89.1,180.0,top
C11,126.0,-90.6,180.0,top
C12,146.1,-89.8,0.0,top
C13,145.2,-92.35,270.0,top
C14,129.0,-93.6,180.0,top
C15,152.5,-92.1,180.0,top
C17,146.7,-92.35,270.0,top
C19,131.1,-81.675,270.0,top
C2,134.1,-81.675,90.0,top
C3,135.6,-81.675,90.0,top
C4,137.1,-81.675,90.0,top
C5,126.0,-92.1,180.0,top
C6,138.6,-81.675,90.0,top
C7,140.1,-81.675,90.0,top
C8,126.0,-86.1,180.0,top
C9,126.0,-87.6,180.0,top
CN1,150.2995,-98.4625,0.0,top
D1,151.35,-89.4,270.0,bottom
D2,147.25,-89.4,270.0,bottom
IC1,134.595,-96.8,90.0,top
J2,133.15,-94.95,0.0,bottom
LED1,126.575,-99.5,270.0,top
LED2,144.6904,-100.2,180.0,top
MIC1,127.05,-82.0,90.0,top
R1,142.8,-85.225,270.0,top
R10,129.0,-90.6,0.0,top
R11,129.0,-89.1,0.0,top
R12,129.0,-86.1,0.0,top
R13,144.0,-97.1,180.0,top
R14,132.6,-81.675,270.0,top
R17,141.0,-97.1,180.0,top
R18,144.0,-95.6,180.0,top
R19,141.0,-95.6,180.0,top
R2,141.3,-85.225,270.0,top
R20,152.5,-90.6,180.0,top
R3,148.2,-92.35,90.0,top
R5,152.5,-89.1,0.0,top
R6,152.5,-87.6,0.0,top
R9,129.0,-92.1,0.0,top
S1,140.0,-100.0,180.0,top
S2,130.0,-98.2,270.0,top
U3,149.25,-94.545,270.0,bottom
U4,135.435,-87.865,180.0,top
USB1,148.775,-83.5,180.0,top
Y1,142.025,-91.95,90.0,top
